原路径,建议新路径,处理方式,迁移理由,是否需要建立索引,是否需要保留原始副本,是否可能破坏其他文件引用,分类置信度,备注
data/companies/CZ11-WINTER-FOUR-CORPORATIONS-1.json,data/companies/CZ11-WINTER-FOUR-CORPORATIONS-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/current_directives.json,data/current_directives.json,保留原位,推定为季度结案/当前快照，状态为当前状态（仓库指针，晚于玩家口述前已过时）,是,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/current_snapshot.json,data/current_snapshot.json,保留原位,推定为季度结案/当前快照，状态为当前状态（仓库指针，晚于玩家口述前已过时）,是,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/edicts.json,data/edicts.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/edicts/崇祯10年冬迁民开厂富民增税安业续制诏.json,data/edicts/崇祯10年冬迁民开厂富民增税安业续制诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/edicts/崇祯10年夏精袭辽阳毁粮练军续制验实诏.json,data/edicts/崇祯10年夏精袭辽阳毁粮练军续制验实诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/edicts/崇祯10年春竞贸购种兴农安秦续制固藩诏.json,data/edicts/崇祯10年春竞贸购种兴农安秦续制固藩诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/edicts/崇祯10年秋袭马断粮开厂垦田移民增税诏.json,data/edicts/崇祯10年秋袭马断粮开厂垦田移民增税诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json,data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,是,0.90,引用示例: data/current_snapshot.json | data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/edicts/崇祯11年夏核阶足饷实屯练军兴社续制诏.json,data/edicts/崇祯11年夏核阶足饷实屯练军兴社续制诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/edicts/崇祯11年春定部考官兴业通货改军御敌验收诏.json,data/edicts/崇祯11年春定部考官兴业通货改军御敌验收诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/edicts/崇祯11年秋补枢实军兴工通海固本中兴诏.json,data/edicts/崇祯11年秋补枢实军兴工通海固本中兴诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,是,0.90,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/崇祯11年秋中兴收官执行计划.json
data/edicts/崇祯9年冬定职清费援朝固藩安民续制诏.json,data/edicts/崇祯9年冬定职清费援朝固藩安民续制诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/edicts/崇祯9年秋三层军制核兵练军补给扩械防疫诏.json,data/edicts/崇祯9年秋三层军制核兵练军补给扩械防疫诏.json,保留原位,推定为正式提交诏书，状态为正式提交（结构化记录推定）,是,是,否,0.90,
data/game_state.json,data/game_state.json,保留原位,推定为季度结案/当前快照，状态为当前状态（仓库指针，晚于玩家口述前已过时）,是,视引用决定,是,0.99,引用示例: AGENTS.md | README.md | modules/database.py
data/history/CZ10-AUTUMN-EXEC-1.json,data/history/CZ10-AUTUMN-EXEC-1.json,保留原位,推定为游戏AI推演结果/朝政纪要，状态为已执行结果,是,是,否,0.97,
data/history/CZ10-SPRING-EXEC-1.json,data/history/CZ10-SPRING-EXEC-1.json,保留原位,推定为游戏AI推演结果/朝政纪要，状态为已执行结果,是,是,否,0.97,
data/history/CZ10-SUMMER-EXEC-1.json,data/history/CZ10-SUMMER-EXEC-1.json,保留原位,推定为游戏AI推演结果/朝政纪要，状态为已执行结果,是,是,否,0.97,
data/history/CZ11-AUTUMN-EXEC-1.json,data/history/CZ11-AUTUMN-EXEC-1.json,保留原位,推定为游戏AI推演结果/朝政纪要，状态为已执行结果,是,是,是,0.97,引用示例: data/current_snapshot.json | data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json | data/latest_state.json
data/history/CZ11-SPRING-EXEC-1.json,data/history/CZ11-SPRING-EXEC-1.json,保留原位,推定为游戏AI推演结果/朝政纪要，状态为已执行结果,是,是,否,0.97,
data/history/CZ11-SUMMER-EXEC-1.json,data/history/CZ11-SUMMER-EXEC-1.json,保留原位,推定为游戏AI推演结果/朝政纪要，状态为已执行结果,是,是,是,0.97,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: data/archive_manifest.json
data/history/CZ9-WINTER-EXEC-1.json,data/history/CZ9-WINTER-EXEC-1.json,保留原位,推定为游戏AI推演结果/朝政纪要，状态为已执行结果,是,是,否,0.97,
data/history_records.json,data/history_records.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/infrastructure/CZ11-AUTUMN-INFRA-26-1.json,data/infrastructure/CZ11-AUTUMN-INFRA-26-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/infrastructure/CZ11-AUTUMN-TWO_CAPITALS_THIRTEEN_PROVINCES-BUILDING-1.json,data/infrastructure/CZ11-AUTUMN-TWO_CAPITALS_THIRTEEN_PROVINCES-BUILDING-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,否,0.93,
data/infrastructure/CZ11-WINTER-INFRASTRUCTURE-PANEL-1.json,data/infrastructure/CZ11-WINTER-INFRASTRUCTURE-PANEL-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: data/current_snapshot.json | data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/intelligence.json,data/intelligence.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/intelligence/CZ11-SUMMER-INTELLIGENCE-ROSTER-1.json,data/intelligence/CZ11-SUMMER-INTELLIGENCE-ROSTER-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json
data/latest_state.json,data/latest_state.json,保留原位,推定为季度结案/当前快照，状态为当前状态（仓库指针，晚于玩家口述前已过时）,是,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/military/CZ11-AUTUMN-ARMY-REFORM-1.json,data/military/CZ11-AUTUMN-ARMY-REFORM-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,否,0.93,
data/military/CZ11-AUTUMN-THREE-ARMIES-140K-PLAN-1.json,data/military/CZ11-AUTUMN-THREE-ARMIES-140K-PLAN-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/military/CZ11-NINE-RANKS-ACADEMY-CHARTER-2.json,data/military/CZ11-NINE-RANKS-ACADEMY-CHARTER-2.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/military/CZ11-SPRING-THREE-ARMIES-NINE-CORPS-1.json,data/military/CZ11-SPRING-THREE-ARMIES-NINE-CORPS-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,否,0.93,
data/military/CZ11-SUMMER-LOCAL-MILITARY-ROSTER-1.json,data/military/CZ11-SUMMER-LOCAL-MILITARY-ROSTER-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json
data/military/CZ11-SUMMER-MILITARY-1.json,data/military/CZ11-SUMMER-MILITARY-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/archive_manifest.json
data/military/CZ11-WINTER-THREE-ARMIES-EQUIPMENT-1.json,data/military/CZ11-WINTER-THREE-ARMIES-EQUIPMENT-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: data/current_snapshot.json | data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/personal_notes.json,data/personal_notes.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.86,引用示例: modules/database.py | web_app.py | 大明档案/战略方略/崇祯二年春辽东均衡战略与东江五策综合参谋文稿.md
data/personnel.json,data/personnel.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.86,引用示例: AGENTS.md | README.md | modules/ai_analysis.py
data/personnel_current.json,data/personnel_current.json,保留原位,推定为季度结案/当前快照，状态为当前状态（仓库指针，晚于玩家口述前已过时）,是,视引用决定,是,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/policies/CZ11-SUMMER-LOCAL-POLICIES-1.json,data/policies/CZ11-SUMMER-LOCAL-POLICIES-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: AGENTS.md | README.md
data/province_panels/CZ10-AUTUMN-PROVINCES-1.json,data/province_panels/CZ10-AUTUMN-PROVINCES-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,否,0.93,
data/province_panels/CZ10-SUMMER-PROVINCES-1.json,data/province_panels/CZ10-SUMMER-PROVINCES-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: data/province_panels/CZ10-AUTUMN-PROVINCES-1.json | 大明档案/国家态势/崇祯10年夏季各省民心动乱财税面板补录.md
data/province_panels/CZ11-SPRING-PROVINCES-1.json,data/province_panels/CZ11-SPRING-PROVINCES-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,否,0.93,
data/province_panels/CZ11-SUMMER-PROVINCES-1.json,data/province_panels/CZ11-SUMMER-PROVINCES-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: AGENTS.md | README.md
data/province_panels/CZ11-WINTER-PROVINCES-1.json,data/province_panels/CZ11-WINTER-PROVINCES-1.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.93,引用示例: data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/state_snapshots/崇祯10年秋执行快照.json,data/state_snapshots/崇祯10年秋执行快照.json,保留原位,推定为季度结案/当前快照，状态为历史状态,是,视引用决定,是,0.88,引用示例: data/edicts/崇祯10年冬迁民开厂富民增税安业续制诏.json
data/strategy.json,data/strategy.json,保留原位,推定为跨季度长期制度/名册/数据库，状态为历史状态,是,视引用决定,是,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json,data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,是,0.89,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/current_directives.json
data/strategy/崇祯10年冬至11年秋迁民开厂富民增税总考计划.json,data/strategy/崇祯10年冬至11年秋迁民开厂富民增税总考计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,否,0.89,
data/strategy/崇祯10年夏执行考成.json,data/strategy/崇祯10年夏执行考成.json,保留原位,推定为季度结案/当前快照，状态为历史状态,是,视引用决定,否,0.88,
data/strategy/崇祯10年夏辽阳毁粮与未完成事项收官计划.json,data/strategy/崇祯10年夏辽阳毁粮与未完成事项收官计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,否,0.89,
data/strategy/崇祯10年春四项授权冻结执行考成.json,data/strategy/崇祯10年春四项授权冻结执行考成.json,保留原位,推定为季度结案/当前快照，状态为历史状态,是,视引用决定,否,0.88,
data/strategy/崇祯10年春方向草案.json,data/strategy/崇祯10年春方向草案.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,否,0.89,
data/strategy/崇祯10年秋执行考成.json,data/strategy/崇祯10年秋执行考成.json,保留原位,推定为季度结案/当前快照，状态为历史状态,是,视引用决定,否,0.88,
data/strategy/崇祯10年秋袭马开厂垦田移民增税计划.json,data/strategy/崇祯10年秋袭马开厂垦田移民增税计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,否,0.89,
data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json,data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,是,0.89,引用示例: data/current_snapshot.json | data/latest_state.json
data/strategy/崇祯11年夏九级军阶与军官部队考成计划.json,data/strategy/崇祯11年夏九级军阶与军官部队考成计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,否,0.89,
data/strategy/崇祯11年夏执行考成.json,data/strategy/崇祯11年夏执行考成.json,保留原位,推定为季度结案/当前快照，状态为历史状态,是,视引用决定,是,0.88,引用示例: data/edicts/崇祯11年夏核阶足饷实屯练军兴社续制诏.json | data/edicts/崇祯11年秋补枢实军兴工通海固本中兴诏.json | data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json
data/strategy/崇祯11年春执行考成.json,data/strategy/崇祯11年春执行考成.json,保留原位,推定为季度结案/当前快照，状态为历史状态,是,视引用决定,是,0.88,引用示例: data/edicts/崇祯11年春定部考官兴业通货改军御敌验收诏.json | data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json
data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json,data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,是,0.89,引用示例: data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json
data/strategy/崇祯11年秋中兴收官执行计划.json,data/strategy/崇祯11年秋中兴收官执行计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,是,0.89,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json
data/strategy/崇祯9年冬财政杂支与全国民心执行考成.json,data/strategy/崇祯9年冬财政杂支与全国民心执行考成.json,保留原位,推定为季度结案/当前快照，状态为历史状态,是,视引用决定,否,0.88,
data/strategy/崇祯9年冬财政杂支与全国民心拟诏约束.json,data/strategy/崇祯9年冬财政杂支与全国民心拟诏约束.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,是,0.89,引用示例: data/strategy/崇祯9年冬财政杂支与全国民心执行考成.json
data/strategy/崇祯9年秋军制军备人才增垦计划.json,data/strategy/崇祯9年秋军制军备人才增垦计划.json,保留原位,推定为御前密谈/思考过程，状态为待执行计划,是,视引用决定,否,0.89,
main.py,main.py,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
modules/__init__.py,modules/__init__.py,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
modules/ai_analysis.py,modules/ai_analysis.py,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: 大明档案/季度目标/崇祯九年春诏书目标折损与季度验收Scale-v2.md
modules/database.py,modules/database.py,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
modules/edict_helper.py,modules/edict_helper.py,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
modules/knowledge_base.py,modules/knowledge_base.py,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
modules/turn_manager.py,modules/turn_manager.py,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
skills/writeimperial-compact/SKILL.md,skills/writeimperial-compact/SKILL.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial/MEMORY_PROTOCOL.md,skills/writeimperial/MEMORY_PROTOCOL.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
skills/writeimperial/SKILL.md,skills/writeimperial/SKILL.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial/agents/openai.yaml,skills/writeimperial/agents/openai.yaml,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
skills/writeimperial/config/execution_scale_v3.json,skills/writeimperial/config/execution_scale_v3.json,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial/config/execution_scale_v3.schema.json,skills/writeimperial/config/execution_scale_v3.schema.json,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff | skills/writeimperial_v3_更新包/writeimperial_v3_update/给ChatGPT的修改指令.txt
skills/writeimperial/references/archive_map.md,skills/writeimperial/references/archive_map.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial/references/edict_rules.md,skills/writeimperial/references/edict_rules.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial/references/institution_lifecycle_v3_1.md,skills/writeimperial/references/institution_lifecycle_v3_1.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md
skills/writeimperial/references/style_examples.md,skills/writeimperial/references/style_examples.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial/references/target_scale_v3.md,skills/writeimperial/references/target_scale_v3.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial/references/edict_rules.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial/templates/quarterly_scale_feedback.json,skills/writeimperial/templates/quarterly_scale_feedback.json,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial/references/target_scale_v3.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial/templates/崇祯模拟器诏书撰写记忆模板.md,skills/writeimperial/templates/崇祯模拟器诏书撰写记忆模板.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/MEMORY_PROTOCOL.md
skills/writeimperial/tests/scale_examples.md,skills/writeimperial/tests/scale_examples.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md,skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json,skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,否,0.99,
skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md,skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: modules/knowledge_base.py | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | 大明档案/国策路线/国策路线.md
skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md,skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/references/edict_rules.md,skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/references/edict_rules.md,保留原位,推定为仓库程序/配置，状态为不适用,否,视引用决定,是,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
